"Symbol";"Side";"P&L";"Pips";"Size";"Fee";"Open Price";"Close Price";"Open Date";"Close Date";"Risk";"Drawdown";"Cash Drawdown";"Open Order";"Close Order"
"MES(DEC25)";"BUY";"-212,5";"-17";"10";"-1,5";"6659,25";"6655";"2025-10-14 09:30:32";"2025-10-14 09:31:32";"1,1";"4,75";"238";"35705185804";"35705187204"
"MES(DEC25)";"SELL";"1447,5";"193";"6";"-0,9";"6676,5";"6628,25";"2025-10-13 09:24:51";"2025-10-14 03:05:05";"0,9";"42";"1260";"35703815004";"35704632304"
"MES(DEC25)";"SELL";"960";"192";"4";"-0,6";"6676,5";"6628,5";"2025-10-13 09:24:51";"2025-10-14 03:05:05";"0,9";"42";"840";"35703815004";"35704632304"
"MES(DEC25)";"BUY";"-131,25";"-15";"7";"-1,05";"6794,75";"6791";"2025-10-10 08:57:18";"2025-10-10 09:05:46";"1,8";"6,75";"236";"35702199404";"35702223304"
"MES(DEC25)";"SELL";"887,5";"71";"10";"-1,5";"6765,25";"6747,5";"2025-10-02 01:21:42";"2025-10-02 10:17:45";"1";"17";"850";"35695142604";"35695828104"
"MES(DEC25)";"SELL";"-2487,5";"-199";"10";"-1,5";"6697,75";"6747,5";"2025-10-01 03:44:32";"2025-10-02 10:17:45";"1,7";"84,5";"4225";"35694067304";"35695828104"
"MES(DEC25)";"SELL";"912,5";"73";"10";"-1,5";"6764,75";"6746,5";"2025-10-02 01:39:14";"2025-10-02 10:04:08";"1";"17,5";"875";"35695150604";"35695151004"
"MES(DEC25)";"BUY";"-262,5";"-21";"10";"-1,5";"6710,5";"6705,25";"2025-09-30 10:00:58";"2025-09-30 10:16:05";"1";"5,5";"275";"35693356504";"35693391104"
"MES(DEC25)";"SELL";"-150";"-12";"10";"-1,5";"6702,25";"6705,25";"2025-09-30 08:57:14";"2025-09-30 08:58:27";"1,4";"4,25";"213";"35693187404";"35693193104"
"MES(DEC25)";"SELL";"1187,5";"95";"10";"-1,5";"6724";"6700,25";"2025-09-29 09:16:21";"2025-09-29 12:32:36";"0,3";"6,5";"325";"35692262704";"35692602604"
"MES(DEC25)";"SELL";"-130";"-26";"4";"-0,6";"6722,5";"6729";"2025-09-29 08:30:23";"2025-09-29 09:10:14";"1,3";"8,5";"170";"35692108904";"35692245504"
"MES(DEC25)";"SELL";"-202,5";"-27";"6";"-0,9";"6722,5";"6729,25";"2025-09-29 08:30:23";"2025-09-29 09:10:14";"1,3";"8,5";"255";"35692108904";"35692245504"
"MES(DEC25)";"SELL";"-168,75";"-15";"9";"-1,35";"6725,75";"6729,5";"2025-09-29 06:27:16";"2025-09-29 07:25:28";"1,1";"4,25";"191";"35692040804";"35692065004"
"MES(DEC25)";"SELL";"-20";"-16";"1";"-0,15";"6725,5";"6729,5";"2025-09-29 06:27:16";"2025-09-29 07:25:28";"1,1";"4,5";"23";"35692040804";"35692065004"
